pin_id,node_id,image_url,image_width,image_height,available_sizes,description,title,link,pin_url,board_name,pinner_username,dominant_color,is_story_pin,local_image_path
880031583435442814,UGluOjg4MDAzMTU4MzQzNTQ0MjgxNA==,https://i.pinimg.com/originals/2b/8a/04/2b8a0458c17b271b88c11eaaaa3f28d4.jpg,1440,1800,170x|236x|474x|736x|orig,,,,https://www.pinterest.com/pin/880031583435442814/,Hana,DR_2HA,#6a6257,False,/Users/yoon/Library/CloudStorage/Dropbox/TRUNKROOM/sample-clothes-image/pin_880031583435442814.jpg
497647827591994232,UGluOjQ5NzY0NzgyNzU5MTk5NDIzMg==,https://i.pinimg.com/originals/d2/23/a7/d223a7c51f86443966fd2851d6af6428.jpg,676,1200,170x|236x|474x|736x|orig,,,,https://www.pinterest.com/pin/497647827591994232/,STIJL,noemikokke,#887666,False,/Users/yoon/Library/CloudStorage/Dropbox/TRUNKROOM/sample-clothes-image/pin_497647827591994232.jpg
30188259997394892,UGluOjMwMTg4MjU5OTk3Mzk0ODky,https://i.pinimg.com/originals/b5/04/b8/b504b8e76bc2a3afabdc31a5e046ba57.png,2000,2500,170x|236x|474x|736x|orig,ZNUZ 25 F/W 1ST PROJECT ‘CONTROL ZONE’,ZNUZ,https://znuz.co.kr/index.html,https://www.pinterest.com/pin/30188259997394892/,행사 아이디어,yoroco,#635e59,True,/Users/yoon/Library/CloudStorage/Dropbox/TRUNKROOM/sample-clothes-image/pin_30188259997394892.png
8162843070245249,UGluOjgxNjI4NDMwNzAyNDUyNDk=,https://i.pinimg.com/originals/41/67/d4/4167d46d335d62c07f44690886a06457.jpg,735,919,170x|236x|474x|736x|orig,,,,https://www.pinterest.com/pin/8162843070245249/,outfit ideas :-),nahtalyvargas,#d7d0be,True,/Users/yoon/Library/CloudStorage/Dropbox/TRUNKROOM/sample-clothes-image/pin_8162843070245249.jpg
649714683774581418,UGluOjY0OTcxNDY4Mzc3NDU4MTQxOA==,https://i.pinimg.com/originals/a1/6c/b5/a16cb556f36f2ae5c7e972beb73ea45b.jpg,941,1317,170x|236x|474x|736x|orig,,,,https://www.pinterest.com/pin/649714683774581418/,クイック保存,imamurataiki1121,#928f7d,False,/Users/yoon/Library/CloudStorage/Dropbox/TRUNKROOM/sample-clothes-image/pin_649714683774581418.jpg
1057642293730582365,UGluOjEwNTc2NDIyOTM3MzA1ODIzNjU=,https://i.pinimg.com/originals/7c/c7/60/7cc760b894f4030d4754c934cbdac027.jpg,1080,1440,170x|236x|474x|736x|orig,,,,https://www.pinterest.com/pin/1057642293730582365/,Â𝐮 𝐃ươ𝐧𝐠 𝐍𝐚 𝐍𝐚 ᰔᩚ,phhywzz,#88877d,True,/Users/yoon/Library/CloudStorage/Dropbox/TRUNKROOM/sample-clothes-image/pin_1057642293730582365.jpg
42925002695490110,UGluOjQyOTI1MDAyNjk1NDkwMTEw,https://i.pinimg.com/originals/3b/46/73/3b46732dbcf28df276c9558c55a50c1b.webp,1707,2560,170x|236x|474x|736x|orig,The 45 Best Street Style From Milan Fashion Week FW 2025 Days 2 & 3,,,https://www.pinterest.com/pin/42925002695490110/,Fashion inspo outfits,gccccccccc,#73625f,False,/Users/yoon/Library/CloudStorage/Dropbox/TRUNKROOM/sample-clothes-image/pin_42925002695490110.webp
735283076694810792,UGluOjczNTI4MzA3NjY5NDgxMDc5Mg==,https://i.pinimg.com/originals/08/a8/53/08a853445a003c0a85373a6126b1a356.jpg,1280,1707,170x|236x|474x|736x|orig,,,,https://www.pinterest.com/pin/735283076694810792/,Zzzzzzzzzz,urjamie,#645c53,False,/Users/yoon/Library/CloudStorage/Dropbox/TRUNKROOM/sample-clothes-image/pin_735283076694810792.jpg
822540319471375276,UGluOjgyMjU0MDMxOTQ3MTM3NTI3Ng==,https://i.pinimg.com/originals/a9/a4/23/a9a423af2b83330831ae0cb7765c0169.jpg,675,1200,170x|236x|474x|736x|orig,,summerr,,https://www.pinterest.com/pin/822540319471375276/,kanan2022,kanan11281917,#cfc7c1,False,/Users/yoon/Library/CloudStorage/Dropbox/TRUNKROOM/sample-clothes-image/pin_822540319471375276.jpg
723250021440188616,UGluOjcyMzI1MDAyMTQ0MDE4ODYxNg==,https://i.pinimg.com/originals/c9/d2/ba/c9d2bab31b9236fd6d6699d0d0d890a5.jpg,1080,1440,170x|236x|474x|736x|orig,,༘ ೀ⋆｡˚,,https://www.pinterest.com/pin/723250021440188616/,Instagram feed inspo,emxlyi,#151716,True,/Users/yoon/Library/CloudStorage/Dropbox/TRUNKROOM/sample-clothes-image/pin_723250021440188616.jpg
